2021-12-15 22:12:73 INFO  HomePage :111 - Click on Search Option Button : [[ChromeDriver: chrome on WINDOWS (247c3810a1ccd3afaf0d7031d5eab503)] -> xpath: //input[@id='salarymax']]
2021-12-15 22:12:161 INFO  HomePage :118 - Select Salary type : [[ChromeDriver: chrome on WINDOWS (247c3810a1ccd3afaf0d7031d5eab503)] -> xpath: //select[@id='salarytype']]
2021-12-15 22:12:322 INFO  HomePage :125 - Select Job type : [[ChromeDriver: chrome on WINDOWS (247c3810a1ccd3afaf0d7031d5eab503)] -> xpath: //select[@id='tempperm']]
2021-12-15 22:12:454 INFO  HomePage :132 - Click on 'ADD TO CART' Button[[ChromeDriver: chrome on WINDOWS (247c3810a1ccd3afaf0d7031d5eab503)] -> xpath: //input[contains(@id,'hp-search-btn')]]
2021-12-15 22:12:21 INFO  ResultPage :37 - Result message: [[[ChromeDriver: chrome on WINDOWS (247c3810a1ccd3afaf0d7031d5eab503)] -> class: search-header__title]]
2021-12-15 22:12:138 INFO  ManageDriver :32 - Launching Chrome Browser
2021-12-15 22:12:638 INFO  HomePage :95 - Click on Search Option Button : [[ChromeDriver: chrome on WINDOWS (e5ab526ec1b086cd945b39a82fd1b74f)] -> xpath: //button[@id='toggle-hp-search']]
2021-12-15 22:12:230 INFO  HomePage :72 - Enter job title [[ChromeDriver: chrome on WINDOWS (e5ab526ec1b086cd945b39a82fd1b74f)] -> xpath: //input[@id='keywords']]
2021-12-15 22:12:540 INFO  HomePage :79 - Enter job Location [[ChromeDriver: chrome on WINDOWS (e5ab526ec1b086cd945b39a82fd1b74f)] -> xpath: //input[@id='location']]
2021-12-15 22:12:646 INFO  HomePage :86 - select Distance : [[ChromeDriver: chrome on WINDOWS (e5ab526ec1b086cd945b39a82fd1b74f)] -> xpath: //select[@id='distance']]
2021-12-15 22:12:896 INFO  HomePage :102 - Click on Search Option Button : [[ChromeDriver: chrome on WINDOWS (e5ab526ec1b086cd945b39a82fd1b74f)] -> xpath: //input[@id='salarymin']]
2021-12-15 22:12:45 INFO  HomePage :111 - Click on Search Option Button : [[ChromeDriver: chrome on WINDOWS (e5ab526ec1b086cd945b39a82fd1b74f)] -> xpath: //input[@id='salarymax']]
2021-12-15 22:12:122 INFO  HomePage :118 - Select Salary type : [[ChromeDriver: chrome on WINDOWS (e5ab526ec1b086cd945b39a82fd1b74f)] -> xpath: //select[@id='salarytype']]
2021-12-15 22:12:254 INFO  HomePage :125 - Select Job type : [[ChromeDriver: chrome on WINDOWS (e5ab526ec1b086cd945b39a82fd1b74f)] -> xpath: //select[@id='tempperm']]
2021-12-15 22:12:424 INFO  HomePage :132 - Click on 'ADD TO CART' Button[[ChromeDriver: chrome on WINDOWS (e5ab526ec1b086cd945b39a82fd1b74f)] -> xpath: //input[contains(@id,'hp-search-btn')]]
2021-12-15 22:12:741 INFO  ResultPage :37 - Result message: [[[ChromeDriver: chrome on WINDOWS (e5ab526ec1b086cd945b39a82fd1b74f)] -> class: search-header__title]]
